,short_description
554,total aap mla bjp mla new delhi assembl announc seriou case crime women
555,boom found origin tweet okhla mla photoshop give commun color text ad
556,boom found bjp leader parvesh verma made controversi remark assembl elect delhi
557,boom found claim fal video made ad three differ video
558,boom found pictur june protest multan pakistan narendra modi anti pak comment
559,boom found post claim lose seat margin bjp margin less vote
560,boom found pictur old attack zee news offic recent
561,boom found viral claim baseless wrong articl present indian constitut
562,boom found pictur two differ women share fake claim
563,boom found pictur origin mukherj nagar delhi tempo driver attack polic sword
564,boom found viral screenshot tiwari tweet fake made use applic name fake twitter
565,boom found wuhan resid whistl memori dr li valiang
566,fake screen grab news bulletin go viral claim scientist remedi coronaviru
567,boom found video part expul campaign conduct illeg encroach bhubaneswar municip corpor
568,pictur xi jinp juli mosqu visit north western china outbreak kornaviru recent
569,amanatullah khan talk becom mean medium end atroc
570,boom found pictur taken may imran khan went meet arvind kejriw delhi
571,viral articl origin suspect websit ab tccom publish websit publish wrong inform earlier
572,abdullah fiction statement quot modi deriv satir websit fake news
573,boom found video may indonesian soldier beat pocketmar video
574,studi publish octob month outbreak novel kornaviru
575,boom found voter inform belong person name relat jamia shooter
576,boom found video malaysian prime minist visit china
577,anoth wrong inform relat kornaviru spread
578,boom found video maulvi made comment tabrez ansari murder mob
579,wrong claim made get sick want stop germ wear white side mask
580,boom found video year old film china
581,video hindu mahasabha leader shot mahatma gandhi effigi show support nathuram god
582,boom investig show post claim jamia injur demonstr show injuri
583,boom found blanket distribut campaign conduct ngo base ngo aam aadmi parti
584,boom found person shailendra dubey teacher primari school jaunpur uttar pradesh anil upadhyay
585,boom contact rel decea confirm year old young woman die heart stop
586,republ tv initi gave incorrect inform incid claim protestor oppo gunman caa
587,boom found video local market indonesia foreign anim sold
588,boom found newspap clip fake onlin newspap creat help clip gener
589,boom found video two hindu women becam muslim municip elect uttar pradesh
590,india far issu travel advic china healthcar provid deal kornaviru
591,boom found video punjab punjab women hindu
592,boom found person present viral video acharya dharmendra leader vishwa hindu parishad vhp
593,boom found viral video russian proton rocket crash moment fli
594,boom found video two year old junior clerk attack ajmer
595,boom found viral video incorrectli cut shown chairman women shia waqf board
596,boom found video old caa associ opposit
597,boom found caption mislead lingayat guru comment relat citizenship amend act
598,boom found video municip elect held chhattisgarh relat delhi assembl elect
599,boom found viral pictur sandeep lobo member south kannada bjp cell accu arrest
600,boom found kumar refer narendra modi viral video
601,boom found incid took place brazil novemb clash drug mafia seavil guard
602,boom found video beat crimin indor polic uttar pradesh caa demonstr
603,boom contact femal station charg confirm commun angl incid
604,pictur jashodaben modi part protest demolit slum mumbai
605,frozen sweet surround fake wrong news compani
606,boom found video august local peopl jaipur rajasthan protest remov encroach
607,footag made video game editor base popular pc game arma
608,boom found caa written actual banner
609,boom found note shivaji fake america declar februari chhatrapati shivaji day
610,boom spoke organ program confirm dress code photoshop viral pictur
611,boom earlier reject video viral fake claim
612,boom found pictur bangladesh avail onlin earli septemb
613,boom found woman appear video went viral jantar mantar alvi
614,video nighat abba chant freedom opposit leader viral without mention polit affili
615,pakistani actress mahvish hayat pull twitter influenc tarek fateh post fake video
616,boom found video two policemen beaten issu challan three biker
617,facebook page name nation namo post old video muharram claim caa bihar
618,parti deni viral list candid given commun angl
619,boom found pictur khammam district telangana
620,boom found video novemb farmer allegedli protest get low compen land
621,boom identifi speaker farooq ahm leader depriv bahujan agadi
622,boom found truck pass outskirt durgapur west bengal old broken airplan
623,durex compani remov adverti make fun delhi polic
624,mohanda pai share pictur context mislead claim
625,boom found two word replac pictur placard
626,boom found two word replac pictur placard
627,boom found suffer injuri left hand rever made viral
628,boom found viral messag mislead mani way
629,xavier institut campu video girl shout slogan vulgar languag share jnu
630,boom talk suri krishnan told us five stitch come head bandag tie right hand
631,right wing magazin swarajya claim filmmak name attack film muslim ident
632,boom found video avail youtub sinc august
633,boom found actual pictur taken ahmedabad support citizenship amend act
634,mobil video game video footag incorrectli share call american drone attack sulemani
635,boom found twitter handl associ republicpol tv
636,boom found pictur sex toy condom old relat violenc sunday univ campu
637,boom analyz video shot venu found khalid rai slogan
638,kiran bedi share amplifi video differ video share nasa
639,number mention tweet bjp caa support helplin handl claim tweet part prank
640,boom found video six year old belong bangladesh
641,boom found pictur show clash polic tibetan deport person nepal
642,boom spoke aaj tak journalist reject statement
643,video delhi polic beat protest protest rohit vemula suicid
644,boom brought five exampl similar look photograph use spread wrong inform
645,video film belong recent perform
646,indian armi tweet letter fake agreement viral name bipin rawat
647,boom found two differ person one protest kanpur muzaffarnagar alleg polic alleg
648,boom found video viral accid mumbai pune highway
649,boom spoke delhi polic said rakesh tyagi seen video retir polic sever year ago
650,boom found video origin shot sri lankan jail
651,boom found video shot policeman caught sikh protestor mohali forc turban
652,boom found kaneria pictur turn islam
653,like spiderman stop train show pm modi save india repetit popular meme
654,video show polic offic slap woman protest minor rape
655,boom found video origin brahmanbaria bangladesh madrasa student local shopkeep
656,boom abl find person seen video vinod sarang senior inspector delhi polic
657,boom found girl return famili soon video went viral
658,contrari pm remark new delhi amit shah manifesto cm assam year
659,boom found text origin photo poster tamper
660,boom found sub temperatur run viral clip indic correct way said
661,boom found member administr talk exist detent center sever occa
662,boom found bachchan tweet action student protest delhi gang rape
663,boom found pictur origin maratha kranti morcha held
664,firstpost quint wrote mislead articl parineeti chopra brand ambassador beti bachao beti padhao
665,boom found pictur actual display clash polic lawyer court
666,boom found origin pictur delhi polic offic protest clash lawyer novemb
667,boom reject earlier bhilwara polic told boom case commun polit
668,immigr offic share video bangladeshi passport found sandal view caa opposit
669,viral pictur claim perform hindu actual muslim politician
670,boom found video origin forest evict campaign conduct amchung forest area assam
671,boom found video gurgaon haryana school bu allegedli vandal karni sena
672,delhi polic confirm boom person seen pictur arvind kumar soldier delhi polic
673,tata memori hospit mumbai reduc hair loss chemotherapi breast cancer
674,video mislead share recent pass caa protest
675,hyderabad physiotherapist misrepr find nobel prize winner
676,boom found pictur india kidnapp caught cairo egipt
677,boom found pictur rahul gandhi sapa fabin kerala
678,boom told vice chancellor darul uloom claim fake relat darul uloom
679,india offici crime collect data religion data victim rapist
680,boom spoke student repr jmi confirm student hospit still stabl
681,boom found pictur screen grab news bulletin relat water project inspect sarbanand sonow
682,boom found viral pictur done chitgong bangladesh shot process taken occa eid e milad
683,boom found three pictur assam relat opposit citizenship amend bill
684,boom heard speech given gandhi jharkhand found statement like call rape indian women
685,boom discov video internet found video citizenship amend bill long passag bill pass
686,boom found woman identifi amrat shehzadi muslim resid shahpur bhanguk pakistan
687,boom found video mock drill organ jharkhand polic novemb
688,boom found wrong statement spread name congress leader spoke cab comment
689,person seen pictur vinay sharma one adult convict case minor
690,boom found shock video record egypt cairo tower burj califl dubai
691,boom found hyderabad rape victim receiv award viral video
692,fal claim made pictur student tamil nadu punish clean school toilet wear ayyappa garland
693,boom found viral photo part fact check articl publish hindi newspap dainik poorodaya
694,claim done christian odisha
695,zee news tv use old pictur veterinari doctor accu rape murder
696,boom found footag video game medal honor
697,boom spoke motihari assist superintend polic confirm incid motihari
698,sibrabad polic commiss vc sajjan told boom none accu minor
699,mani peopl describ insensit peopl face lot troubl due rise onion price
700,boom found video origin shot adelaid zoo australia photograph
701,boom found origin yemen incid person public charg rape kill girl
702,boom found video fake complet differ video real funer
703,boom examin two list number find scam work
704,boom found pictur nigeria pastor kept sister human skeleton
705,boom found kanhaiya talk maulana abul kalam azad shown cut
706,boom found pm modi done juli death close aid rss leader prafulbhai doshi
707,edit pictur uddhav thackeray shiv sena green logo tweet parodi account sanjay raut
708,boom found actual pictur uddhav thackeray salut pictur father balasaheb thackeray
709,boom found pictur share mani neutzan origin actor sunil jadhav film attack
710,boom found video north eastern brazil coupl charg tri rob passeng bu move bu
711,post student describ freekey depend spread toward women
712,boom found articl first publish satir entertain websit consid true
713,boom found pictur young man karnataka suffer blood cancer
714,boom found pictur origin taken protest took road protest nirbhaya gang rape delhi
715,boom found pictur taken woman shown woman particip ashura muharram countri
716,boom abl find victim sukhram meghwal beaten peopl charg theft
717,boom contact shambhavi siddhi master degr student studi jnu viral facebook post
718,boom told truth video incid took place mall morocco
719,boom found pictur done britain visit nehru
720,video went viral texa usa local polic said incid could happen mexico
721,boom found link given news take fake websit
722,tirumala tirupati devasthanam confirm boom claim broadcast onlin wrong taken deci yet
723,boom found pictur drama draw line base partit india
724,boom found articl light show day khan birthday talk money borrow
725,boom found show done aaj tak channel given news incid happen
726,boom found pictur actual taken eleven year ago feroz shah kotla mosqu delhi
727,fake messag claim see three right sign whatsapp mean govern agenc
728,mainpuri polic told boom quarrel took place two thakur group
729,pictur made websit screenshot mimick news bulletin
730,lucknow polic injur maulana deni commun reason behind attack
731,boom spoke superintend polic secur ayodhya deni viral messag said someon monitor
732,fatehpur polic told boom person kill wife angri rel wife
733,video program customari sweet admit indian pakistan armi
734,shubhranshu chaudhari one indian target isra spywar pegasa spoke boom told
735,boom approach madhav nation park rang offic lp arya reject rumor
736,boom found viral pictur two girl told pictur two differ girl
737,boom found viral video incid karachi pakistan took place august year
738,opindia nation fal report russian presid vladimir putin narendra modi visit tamil nadu
739,boom found incid rohta bihar women consid child thief mob
740,fake news claim honda give free gift besid cadburi amazon also fake messag
741,boom found fake viral graphic font match font graphic tweet offici handl
742,boom found demonstr done worker hindu samaj parti form kamlesh tiwari
743,bhilwara polic categor deni commun reason behind incid
744,boom found interview given tv regret lewd thing done brother
745,viral post claim woman wife gautam adani boom found claim fal
746,fake post alleg laxmi vila bank close sever branch
747,boom spoke shahabad sdm dismiss alleg tamper evm said jeep govern complex
748,boom found statement go viral name senior journalist kumar roam social media sinc murshidabad tripl murder
749,boom found reserv bank india never issu messag order note declar illeg
750,boom spoke mathura polic told crimin set fire car stir media
751,boom found temporari road open traffic four month hour later claim
752,boom found ratan tata never said mainstream media institut write articl context
753,boom found origin headlin photoshop fake made
754,incid pal start make mislead claim pal relationship rashtriya swayamsevak sangh reason death
755,boom found pictur origin mehedi hasan russel main one death bangladesh engin student abrar fahd
756,cnbc tv came gui fake tweeter account consid fake twitter account name abhijeet banerj
757,boom spoke meerut polic told gang muzaffarnagar use rob atm help ga cutter long time
758,data pmo former pm manmohan singh extract show amit shah claim regard modi foreign trip
759,boom found incid took place alahabad student alahabad univ stop convoy
760,boom found facebook page follow made logo bbc news
761,balrampur polic say eight peopl arrest area quiet
762,director karthik saragur told boom scene film vivekananda left vivekananda
763,boom found prime time ravish recent made episod deliveri rafal
764,claim chhota rajan pictur pm modi origin pictur photoshop
765,boom found person arrest dewa connect reserv bank india claim go viral
766,boom identifi late kunwarji lodaya brother mulji lodaya businessman gujarat
767,boom found person yusif alakutai live saudi arabia incid riyadh polic arrest
768,boom found pictur origin screenshot taken film nine hour ram
769,boom found ident two differ girl stolen creat account remov one pictur one
770,boom spoke goa superintend polic pankaj kumar singh told accu took step due lack money
771,boom found pictur actual held annual meet world econom forum pakistani minist present
772,boom found actual pictur taken associ press gandhi laugh jawaharl nehru
773,boom found statement viral anil upadhyay actual statement sant yuvraj
774,donald trump carboncopi denni alan stage held earlier year truphalgar skwear unit kingdom
775,boom found headlin clip clean word manag replac cleric
776,boom found video incid multan pakistan relat kashmir
777,boom found incid saudi woman brutal beat children mother took money husband divorc
778,boom found amazon spin win offer avail amazon india app
779,boom found flood came tarod area morocco august least seven peopl kill
780,boom found photo carri global climat strike held major citi world
781,boom found video shot chief minist narendra modi made illeg build across state
782,boom found pictur nehru indira gandhi went magnitogorsk russia
783,boom found although mainstream media write articl upload video youtub year ago
784,boom found video present onlin sinc octob reportedli relationship taliban pakistani armi
785,boom found clip air time danc sequenc pm modi elect campaign april
786,boom contact professor akiohi kitoka creator optic meal dismiss claim
787,boom found new act would fine passeng wear seatbelt sit behind vehicl
788,boom talk pithora polic station charg found boy girl believ hinduism call boy muslim
789,boom found pictur three year old analysi articl mainstream media institut statement
790,boom found viral clip episod popular american danc show think danc
791,boom contact gorakhpur addit gorakhpur dr kaustubh said real messag rumor
792,boom found pictur protest extradit bill hong kong
793,boom found pictur five year old woman seen ramdev suffer cancer
794,pictur screengrab prime time show senior journalist ndtv get life
795,boom contact wasim co star farhan akhtar said pictur taken februari year tweet
796,boom found statement publish viral quot suprem leader north korea
797,boom contact mission mangal co produc r balki reject claim far
798,boom found video made viral link challan program run across countri wrong number thousand
799,boom found viral pictur statement old current receiv ravish kumar ramon magsaysay
800,boom found video shot polic train colleg kp hungu pakistan kp
801,viral pictur boom found photoshop tweeter user name mimrao
802,boom found swiss bank corpor document letterhead present
803,wrong context photo video step improv environ aim remov pollut
804,boom receiv full episod two differ prime time show one week old
805,boom found video origin entir aleppo citi shock terribl explo hotel syria
806,ahmednagar local crime branch told boom video mock drill septemb
807,person present video arrest assam polic jail wait case
808,first photo taken funer jammu kashmir policeman june second pictur gaza
809,viral video fake social media voic ad
810,incid polic arrest student msf nation presid top ashraf ali say
811,boom found pictur statement share thousand time made fake pictur maryam khalik
812,video twitter facebook muzaffarabad gilgit kotli govern pakistan
813,boom found video shot karachi pakistan relat india
814,boom found video one hour ashram satya sai ram andhra pradesh shot prashanti nilayam
815,boom read inform issu reserv bank viral messag declar wrongli
816,boom found video juli clash tmc bjp worker west bengal coach bihar
817,boom found publish articl origin cartoon lo angel time
818,boom found photo taken decemb isra attack gaza strip
819,boom found video shot may relat kashmir issu
820,boom found video origin himach pradesh state high court last year remov illeg encroach
821,viral video combin old protest incid situat articl withdrawn kashmir
822,boom found video shot prayagraj januari priyanka gandhi weight eastern uttar pradesh
823,boom found video five year old video upload websit call appian news
824,boom found origin pictur narendra modi worn arab amirati hat
825,boom found video sindh provinc pakistan also went viral may
826,boom spoke senior ndtv journalist ravish kumar deni claim
827,boom found video present facebook sinc mani claim give commun color link kashmir issu
828,boom found jawan jagveer singh seek help govern take action land mafia prime minist
829,boom contact bbc hindi found claim made call sourc absolut fake
830,boom found investig beaten beat young man confu child thief
831,boom found video tweet mir june group youth south kashmir
832,boom found three four pictur year old fourth pictur taken differ occa happi atmosph
833,boom found video show mock drill organ polic offic amravati maharashtra
834,boom found person present video mumbai polic commiss retir indian arm forc
835,video share due section cancel jammu kashmir
836,video mock drill uttarakhand held part joint militari exerci india america
837,boom found clip held cricket tournament held jammu kashmir indian armi dhoni chief
838,boom found video upload youtub recent polit jammu kashmir
839,boom found video origin protest madrasa teacher gurdnibagh area bihar
840,boom found viral video bjp ralli took place jammu april
841,boom found gilani mani separatist leader first phase jammu kashmir local urban bodi elect
842,viral post claim video show muslim jammu kashmir shout slogan support india
843,boom found video goa six month old video anywh video person wear burqa connect bjp
844,boom found viral pictur taken year girl seen palestinian kashmiri
845,claim cannon sent due upheav kashmir valley
846,boom found video shot deci beat woman taken villag head
847,viral statement statement zomato founder ceo deepind goyal demolish commun color given matter
848,boom spoke arjuni morgaon polic deni commun angl incid
849,messag viral social media claim child kidnap citi bangalor
850,boom spoke offici spokesperson king georg medic univ confirm victim aliv
851,boom found mani claim made social media link pictur
852,india gate war monument design honor soldier british indian armi first
853,boom found pictur viral unrel chandrayaan taken spacecraft
854,respon lok sabha number case fake news spot elect commiss highest case
855,video indian athlet swapna burman famili reaction victori wrongli link hima da
856,boom found onlin form use decept get inform peopl fake websit wrongli
857,viral post claim russian govern start scheme view health welfar countrymen howev
858,boom spoke mumbai polic pro manjunath sing confirm video broadcast fake
859,photo gujarat polic bust illeg arm racket run hotel
860,boom found allah hu akbar voic ad video clip
861,delhi polic told boom peopl involv sabotag templ old delhi taken bajrang dal
862,boom spoke repr actor famili member tabrez ansari deni viral post
863,boom found viral photo done octob bangalor colleg distribut studi materi
864,boom found pictur previou assam flood spread recent flood photograph
865,viral post three pictur claim two hindu girl fast love jihad
866,two girl actual three seen pictur film actor aamir khan niec daughter
867,video actual ten month old video person seen abu polic personnel bareilli
868,boom contact tabrez ansari uncl cousin call claim rumor
869,student actual rai slogan sabir sab zindabad support princip sabir sheikh pakistan zindabad
870,figur spread viral facebook post consid true social media user howev
871,boom found viral video clip four year old record differ context
872,boom found video surat gujarat incid took place ralli oppo mob lynch
873,viral post photo fast share wrong caption
874,boom contact delhi polic came know messag offici relea delhi polic
875,boom found fountain oper sound girl scream video
876,boom found four year ago cabl car caught fire jericho shoot tv seri
877,boom approach kunal told share photo funni
878,viral post claim incid recent occur haryana real incid year rajasthan
879,slogan demand two year old muharram process demand reveng rss worker tabrez ansari death
880,asian news intern publish wrong inform tweet claim intern player join bjp
881,boom talk akhtar told never made statement
882,boom found moitra given appropri credit idea involv speech poster us holocost memori
883,nativ compani facebook said due technic fault applic face problem time
884,advoc prashant patel umrao tweet clip caption scare peac public form
885,boom discov rever imag search actual pictur taken press trust india ralli lok sabha elect
886,polic told boom step taken famili love affair matter polit pul
887,boom found footag rs tv found amit shah sleep screenshot taken shah took eyelid
888,video fight cow smuggler group haryana viral social media mislead claim
889,post viral year claim child seen video son martyr armi memori father
890,narendra modi lok sabha elect real pictur mother happi happi
891,pictur elderli woman cm kamal nath madhya pradesh go viral agricultur loan waiver adverti
892,gujarat polic told boom victim polic inform kill surat
893,last year video funer tabrez alam bihar go viral wrong claim
894,photo two year old screen documentari made bbc bangladesh photo relat photo
895,boom found pictur pregnant woman photoshop stori catherin bridg imaginari
896,viral post edit pictur attempt made show children taught islam taught hinduism
897,messag go viral social media claim group twenti peopl arm weapon malad dahisar
898,video shot malaysia seven month old share mani time
899,punjab polic talk boom confirm male cow protector assault incid anim trader
900,boom found fake video geologist portray destruct natur underwat volcan erupt
901,claim viral photo bridg inaugur narendra modi three month ago
902,origin video sri lankan children thank armi personnel easter blast countri
903,boom found pictur old object melt due weather kuwait
904,two main accu cruel attack woman brother congress councilor viral post modi
905,boom found pictur ia offic jagdish sonkar later apolog act
906,written banner origin pictur want real photo protest kashmir august
907,azad deni news pinch offici twitter handl
908,video incid brajili teenag stab death rival gang member
909,video go viral four year old shot adelaid australia manchest june
910,viral post facebook twitter promot claim paribah victim assault june coma
911,photo citi bangkok thailand share shiva templ bali indonesia
912,kishwar becam target post wrong inform social media
913,viral video make loud viral video facebook share three thousand time
914,newspap clip claim meme manufactur kolkata made news ex girlfriend hou
915,boom found hamdard compani produc spiritu afza go way discrimin basi religion
916,viral post claim armi dog attack stone kashmir origin video morocco
917,boom found video children go madrasa pune provid proper ident document kolkata
918,post share fake facebook page call nirmala sitharaman claim sitharaman sacrif dhoni
919,post go viral facebook narendra modi name ad fake statement
920,post use pictur woman kerala claim raja singh sister convert islam
921,mani interview anju ghosh said born faridpur bangladesh countri motherland
922,pictur incid mental derang woman beaten mob suspicion kidnap child
923,real video hyderabad share social media fal claim
924,photo perform smuggl children arrest
925,viral statement facebook claim sitharaman call kejriw deci stupid
926,video farooq abdullah speak prayer meet organ mourn death atal bihari vajpay
927,sinc rmvm school gujarat target internet tarnish reput among parent
928,construct first hindu templ abu dhabi continu reject claim
929,offer spread viral messag whatsapp
930,woman seen pictur asia ramadan differ kill islam state milit asia pije
931,abp news anchor rubika liaquat deni statement offici twitter handl call fake
932,peopl seen video famili peopl hurt ntpi boiler blast held rai bareilli year
933,person bahruupia local polit leader delhi
934,viral post wrongli claim child seen clip student school valsad gujarat
935,jnu student najeeb ahm went miss octob e year pictur publish
936,viral post fal claim gujarati man dollar shower video road canada
937,elect commiss websit confirm number vote shown viral post upload websit eci
938,gujarat polic told boom video incid two group clash polic lathi charg
939,viral post claim video jodhpur rajasthan congress power doda jammu
940,viral post claim anna hazar ask kejriw slap video
941,mani fact check written fake photo hardli anyon given verifi detail actual photo
942,video person prai prime minist narendra modi member polit parti privat
943,boom found video shot day madhya pradesh assembl elect novemb
944,note use game made viral tell indian note publish pakistan
945,video went viral wide report news institut boy video
946,bollywood lyricist jave akhtar call fake quot fake baseless nonsen
947,ysrcp spokesperson deni claim said jagan true believ jesu respect religion
948,boom found claim fal audio incid may put viral video
949,video support bjp candid file nomin anantnag jammu kashmir
950,boom found pictur protest jamshedpur india bandh second clash lucknow
951,aaj tak ad news channel templat
952,belgaum polic told boom teenag child commit suicid fight father polic commit two peopl
953,fake vote name film actor becom quit viral social media
954,govern india spokesperson deni claim
955,video indian union muslim leagu flag flag pakistan went viral
956,fake statement call evil prime minist narendra modi peopl vote call fool
957,billboard congratul akhilesh yadav becom prime minist fake origin billboard wish yadav new year
958,video peopl celebr watch footbal match tele screen two year old india
959,viral post claim manmohan singh touch sonia gandhi feet although person seen wear turban pictur
960,day final phase vote pictur laddu prepar social media claim
961,boom found quot spread name wing command abhinandan fake
962,mani post social media prime minist statu deenday upadhyay pictur vidisavarkar
963,boom found origin cartoon welcom priyanka gandhi vadra enter polit
964,viral post claim subhash chandra bose first origin
965,fake clip newspap inspir facebook post viral claim prime minist
966,birthday boy video give birthday bump friend go viral video
967,boom found pictur first use articl samvadaorg
968,photo avail variou sinhal websit sinc
969,caption suggest bjp candid face public anger factcheck show rajasthan
970,boom broke video frame found origin islampur west bengal tmc parti
971,viral post claim pragya thakur said parrikar die befit goa
972,viral post fal claim kanhaiya appeal voter vote tanveer hasan rjd
973,viral pictur mislead post porn star azam khan two son daughter
974,claim wikileak reveal rahul gandhi marri colombian woman
975,wherea viral post claim woman seen pictur differ congress leader boom
976,incid took place ajnala punjab two year ago peopl shiromani akali dal allegedli took motorcycl congress
977,year old video actual bharti expel bharatiya janata parti
978,viral pictur nicknam congress parti chief tamper help photoshop
979,viral post use two differ pictur claim congress slap hardik patel
980,viral video sidhu seen proclaim allah hu akbar stage although part sidhu
981,origin prank son tell father girlfriend pregnant edit video
982,viral post claim woman seen video woman stand kanhaiya kumar ralli one gurmehar kaur
983,video modi amit shah run behind vajpay mean made viral claim call form
984,pictur probabl year person caught person tri throw cow meat templ premi
985,video made viral song written support bharatiya janata parti connect separ jammu kashmir
986,although photo edit bad way fake twitter user alleg
987,viral tweet privat secretari madhya pradesh chief minist kamal nath point raid incom tax depart kill
988,instal made viral say show bundl burnt note note kill hou congress leader
989,boom search rever imag pictur use collag found pictur bjp govern may
990,boom found pictur combin two differ imag photoshop troll patra
991,video ashutosh shown take sarcasm aam aadmi parti although part origin video cut
992,viral video claim chief minist mamata banerj made vand mataram minist mla meet
993,viral pictur gandhi seen wear crucifix real pictur wear white pendant
994,viral post facebook claim actress hindi film recent enter polit
995,video becom increasingli viral social media claim journalist abhisar sharma
996,bjp mp target viral news clip
997,video clip cricket match echo slogan chowkidar chor hai social media get viral
998,post target bjp congress social media viral wrong context
999,post go viral claim australian name appl busi impress modi modi appl
1000,viral post claim polic demand fierc pole youth demand job
1001,sonia gandhi former presid maldiv viral wrong context
1002,appear prime minist modi attack post like ratan tata offici twitter handl
1003,actress nusrat jahan photoshop photo becom increasingli viral social media pictur face nusrat jahan ka hai
1004,two year old video clip congress leader alpesh thakor shout stage rahul gandhi crowd come crowd
1005,boom contact hul spoke tri find truth variou claim target brand
1006,viral post claim joint nation china said masood azhar sit indian govern
1007,statement made parti meghalaya alexan beef cow meat made viral wrong context
1008,viral photo claim wing command abhinandan wife met prime minist narendra modi
1009,video aircraft accid afghanistan go viral video claim video ethiopia plane crash
1010,special quot boom raghuram rajan run name relat punjab nation bank scam social media
1011,pictur campaign american univ social media model wrong context
1012,februari pakistan captur wing command indian air forc imprison iaf sinc day
1013,poster aam aadmi parti vulner aam aadmi parti bjp mla vijend gupta offici twitter handl
1014,post go viral claim govern india kashmir na dhana song film relea
1015,real pictur patra seen stick bjp sticker
1016,viral pictur claim tomb kill indian air forc attack jaish e muhammad terrorist
1017,republ tv strateg affair consult editor meeser gaurav arya retir said twitter screenshot fake
1018,viral post claim person seen burk sanghi tri discredit muslim commun
1019,clip share avi dandiya bjp chief amit shah allegedli home minist rajnath singh unknown woman
1020,post went viral last twenti four hour claim worthman senior join congress
1021,post claim first time india broadcast fake news big media hou
1022,see imran khan tv pictur old woman shed tear share claim indian air forc
1023,post went viral social media claim wing command abhinandan worthman danc pakistan soldier
1024,video claim bhagwat compar indian armi rss
1025,articl satyar websit viral wrong context facebook
1026,viral post claim soldier celebr airstrik balakot
1027,satir subject pakistani armi drop aircraft news report
1028,viral post social media claim pakistan attack india balakot air strike
1029,viral video simul real strike footag
1030,six year old video made viral claim modi call martyr widow express condol
1031,dinakaran crpf dig intellig clearli refu receiv news famili slain soldier
1032,video year yogi adityanath funer former chief minist uttarakhand nd tiwari
1033,fake pictur viral claim social media modi met hafiz saeed pakistan
1034,news paper clip regard independ kashmir social media go viral name delhi chief minist
1035,pictur tawang helicopt crash spread recent attack crpf convoy pulwama
1036,four year old pictur rahul gandhi sister amethi mir shah seen ziyarat dargah
1037,video connect pulwama tragedi take statement bhushan statement given kashmir issu
1038,priyanka gandhi vadra crop video share twitter claim crpf jawan pulwama
1039,video mock drill went viral murder attack crpf personnel jammu kashmir thursday
1040,within hour pulwama attack old video done wrong context
1041,polic arrest four peopl vandal unesco world heritag site
1042,viral video describ cctv footag terrorist attack pulwama
1043,viral post claim pulwama attack turn close congress
1044,post viral social media took seriou uri declar tax free pakistan
1045,kejriw seen wear strang shirt pictur
1046,pictur tea person wrong caption social media done viral call yogi adityanath brother
1047,statement made modi social media viral pictur actress priyanka chopra
1048,three year old video indor patna express derail get video viral bihar train accid
1049,post viral claim gandhi sarcast kumbh mela tweet tweet fake twitter
1050,gandhi famili target tweet
1051,hindu mahasabha member pooja came discuss shoot effigi mahatma gandhi recent
1052,news sehwag join bjp upcom lok sabha elect social media
1053,modiji speak truth pictur done social media caption borrow time
1054,pictur thirti year old social media done viral conspiraci
1055,edit video includ unrel clip variou interview delhi chief minist arvind kejriw
1056,edit video claim child made fun rahul gandhi take name prime minist modi
1057,shankhanad claim post aam aadmi parti start corrupt fight congress end
1058,prabha report viral social media bjp ticket andhra pradesh bjp ticket
1059,conclu survey post went viral tell rahul gandhi ahead modi pm race
1060,prime minist regain subject parti presid amit shah call jumla interview
1061,week news almost belov introduc truth behind viral pictur video
1062,news clip get viral facebook facebook rajiv gandhi father son relationship
1063,post viral social media claim kareena contest bhopal
1064,one statement made viral link modi social media news channel aaj tak templat pictur caption
1065,old pictur modi mislead social media tell pictur half kumbh combin
1066,pictur rahul gandhi get viral stuf toy social media
1067,azam khan two year old video done viral social media
1068,pictur go viral claim rahul gandhi breakfast dubai former isi director gener
1069,male actor appear video soldier product film subedar jogind singh
1070,rahul gandhi visit unit arab emir spread wrong news social media context air traffic
1071,person seen pictur almost four year old tie bag hashish bomb
1072,differ pictur rahul gandhi visit dubai get viral wrong context
1073,tajind bagga wear shirt call prime minist thief
1074,video tamper show delhi chief minist arvind kejriw drunk
1075,four year old video maneka gandhi question sonia gandhi becam sixth richest woman world
1076,uniform women appear pictur similar uniform worn kurdish peshmarga femal fighter
1077,video injur cow social media done viral wrong context
1078,local polic confirm boom fir lodg four hindu commun angl incid
1079,american surfer video done viral social media tell indian soldier
1080,post spread video claim jasodaben appeal peopl vote narendra modi
1081,video year manmohan singh describ prime minist post
1082,video kapil sibal done wrong context social media
1083,video clip mislead social media
1084,video social media indonesian thief done wrong context call pakistani pakistani
1085,video mourn martyr wife social media done viral wrong caption
1086,viral post social media claim farmer demand urea lathi charg madhya pradesh
1087,viral post sarcast said woman ask prime minist jasodaben get justic
1088,viral facebook post claim femal offic daughter defen minist
1089,morifi photo social media internet viral
1090,social media prime minist modi bogibeel bridg wave hand see train coach bogibebil bridg
1091,fake news expul patra sambit social media get viral indiscrimin
1092,adverti articl skin cream brand ovela claim gauri khan establish brand due shahrukh khan
1093,pictur went viral actual tibet tibetan funer action
1094,realli ate tajind bagga sit hunger strike kamal nath appoint chief minist madhya pradesh
1095,social media pray rahul gandhi dargah associ hindu religion link viral
1096,time congress presid heard say loan farmer forgiven habit farmer spoil
1097,post viral person soot narendra modi poster sachin pilot maharashtra youth congress presid satyajit
