,short_description,label
288,news review chine soldier dress plain cloth ladakh press review,0
536,urdu newspap publish pakistan qureshi statement china pakistan econom corridor week imran khan visit afghanistan news relat opposit grand allianc,0
651,kanta prasad run food stall accu rig donat money youtub deni kind fraud,0
652,offer prayer say consent priest increa goodwil mani peopl consid matter hurt religi sentiment,0
144,boom found viral pictur claim fake viral pictur one year old thailand,1
477,articl taken redg forum name r noslip peopl post fiction stori inspir event life,1
507,boom found viral screenshot photoshop make fal claim,1
428,boom discov man seen photo injur nur treat,1
631,right wing magazin swarajya claim filmmak name attack film muslim ident,1
113,monday kerala himach pradesh rajasthan confirm due death bird monday,0
182,boom spoke protest injur vt balaram demonstr said pictur farmer,1
66,sangeet som advi oppo oppo corona vaccin,0
398,russian foreign minist sergei lawrof rigor comment quad faction today newspap,0
339,boom found incid took place octob bu carri jawan victim accid,1
136,boom found pictur anti caa protest januari pm modi two day visit kolkata,1
545,boom found statement share mani neutzan earlier,1
740,fake news claim honda give free gift besid cadburi amazon also fake messag,1
757,lot cast equat bihar long time bjp engag mobil voter basi hindu ident along also pay attent social engin,0
391,boom discov viral video peopl offer prayer lockdown implement,1
357,decemb death anniversari india first deputi prime minist home minist sardar vallabhbhai patel,0
83,boom discov viral video actual cgi clip,1
615,bihar assembl elect bjp seat jdu success seen bihar uttar pradesh hindi speak state uttar pradesh,0
190,silo built moga district punjab year compani chief offic told boom,1
521,boom contact sultanpur polic told us incid took place seilampur delhi,1
523,boom earlier also investig video claim islam terror west bengal,1
641,boom found pictur show clash polic tibetan deport person nepal,1
384,boom found person seen video year monk bahupiya peopl girl,1
66,prime minist action secur forc demonstr farmer issu new agricultur law central govern,1
80,boom receiv order issu ministri home affair,1
42,claim pictur show around million peopl come support peasant movement,1
503,virat kohli made statement rohit sharma present australia,0
547,read posit sign found first studi kind india special print today newspap,0
144,oxford kovishield bharat biotech koovaxin approv data made public mani concern express,0
622,mani minist pm modi arrest arnab goswami tweet critic arrest,0
209,pictur viral claim person seen underworld abu salem,1
619,boom found pictur khammam district telangana,1
481,mumbai polic confirm boom two viral audio clip fake,1
181,nepal recent crisi seen shock china india victori indian media oli call pro china come favor india,0
619,necessari news big updat day found live page bbc avail hour,0
608,boom found caa written actual banner,1
532,boom found incid took place islampur area west bengal januari person wife newborn daughter,1
298,boom found incid took place video went viral,1
25,claim hindu woman name ismail kill asha hubli karnataka,1
662,boom found bachchan tweet action student protest delhi gang rape,1
490,viral clip made use aaj tak templat claim brahmin rajput,1
315,boom found handl parodi handl,1
54,claim due kisan movement delhi chalo march km long jam nation capit,1
548,countri first juveni polic divi open trichi collabor nation child right protect commiss,0
246,boom found video shot prayagraj last year ganga jamuna ufan,1
264,boom found pictur actual show hospit complex virginia univ,1
137,boom found uninstallmyntra viral social media minyantra made viral cartoon,1
403,boom found investig ranjan gogoi present twitter also statement news report,1
27,address gather purulia mamta banerj said read big import news day live page bbc hindi,0
647,boom found two differ person one protest kanpur muzaffarnagar alleg polic alleg,1
350,honor kill custodi murder suicid case burn corp without postmortem without famili like hathra scandal,0
272,everi year india million peopl fall prey death due air pollut,0
753,telangana andhra pradesh kerala karnataka odisha disturb due torrenti rain maharashtra sinc wednesday least peopl die far,0
440,hindi newspap dainik jagran print pictur samajwadi parti presid akhilesh yadav april wrong articl,1
731,octob birth anniversari india popular presid apj abdul kalam far read special articl th birth anniversari,0
245,ambiti rehear indian histori today andhra pradesh gujarat punjab assam two day,0
179,boom found viral claim fake pictur share pradeep pakistani actress laden daughter,1
617,facebook page name nation namo post old video muharram claim caa bihar,1
458,boom approach mumbai polic came know commun angl issu,1
652,boom found kaneria pictur turn islam,1
541,attack later commit suicid kotma polic deni commun angl case,1
741,opposit parti anti pakistan mobil imran khan govern,0
47,boom found viral pictur made use edit app facil,1
573,boom found video may indonesian soldier beat pocketmar video,1
78,claim social media user ahm patel last visit shown video,1
661,boom found member administr talk exist detent center sever occa,1
74,farmer agit border delhi say welcom initi suprem court alleg committ form demand farmer work favor govern,0
491,boom found graphic made prank gener app pictur lion move street old unrel,1
606,boom found video august local peopl jaipur rajasthan protest remov encroach,1
708,boom found actual pictur uddhav thackeray salut pictur father balasaheb thackeray,1
724,shoaib aftab akanksha singh got percent number examin although shoaib declar topper exam tie breaker polici nation test agenc nta,0
688,alleg india also includ want establish militari presenc maldiv,0
419,alway concern india busi relationship china loss take advantag fierc,0
176,boom found video shot srinagar fayaz bukhari report,1
267,boom found viral pictur taken plantat prime minist time bhoomi pujan,1
4,format new rule bca agreement h b visa format quad group deci took place us india trump tenur everyth india good trump rule,0
312,last five year malnutrit seen increa state india,0
177,viral clip octob bjp leader subrata mishra allegedli attack tmc worker,1
504,bombay high court said action inspir malici taken harm actress,0
441,day larg number farmer busi oppo new law mani border india nation capit india,0
699,mani peopl describ insensit peopl face lot troubl due rise onion price,1
244,viral post internet claim thousand student india found posit two week,1
367,maryam nawaz appeal peopl reach minar e pakistan govern cost push govern imran khan final push,0
30,mohammad siraj shardul thakur bowl impress australia team dismiss second inning,0
172,year mani doctor health worker frontlin kovid infect viru mani die,0
519,meteorolog depart say next three hour wind speed decrea kilomet per hour km per hour despit danger avert yet,0
168,prepar block three pakistan air forc state art fighter aircraft jf start fourteen jf b aircraft made collabor china hand pakistan air forc,0
10,claim pictur show tent farmer collect boundari delhi larg number,1
686,boom found woman identifi amrat shehzadi muslim resid shahpur bhanguk pakistan,1
699,three peopl die attack church franc reaction come whole world,0
384,central council indian medicin ccim allow post graduat ayurveda student carri surgic procedur formal train,0
61,claim peasant movement khalistan movement connect among,1
226,game fourth day second test play india australia start match play melbourn cricket ground,0
434,boom discov screenshot tweet share facebook actual taken fan page suspend,1
463,ram found pictur fake drug ad photoshop,1
509,china defen minist reach nepal exactli two day india foreign secretari return,0
313,boom receiv similar train video seem viral clip commando bear tier gass,1
46,host australian team bat first score run first inning run wicket,0
133,today cartoon vaccin prepar india,0
696,boom found footag video game medal honor,1
621,indian ministri extern affair object manag kartarpur sahib gurdwara non sikh samiti,0
729,former militari offic india written letter presid ram nath kovind muslim regiment review newspap,0
573,countri asia pacif ocean region includ china sign world largest trade treati sunday hanoi vietnam,0
728,richa chadha sent legal notic payal ghosh case accu anurag kashyap sexual abu,0
359,boom found viral pictur taken place year damoh area madhya pradesh,1
354,boom test reveal video vi singh chow vietnam person play daughter grain,1
711,congress leader rahul gandhi said china captur india soil pm modi even take name china,0
241,nepal ambassador india nilambar acharya told bbc discuss vaccin manufactur govern offici delhi regard vaccin,0
690,boom found shock video record egypt cairo tower burj califl dubai,1
5,share pictur user claim pictur mosqu platform old delhi railway station,1
635,boom found twitter handl associ republicpol tv,1
183,boom found video four year old recent pass farmer relat ongo protest bill,1
751,boom found temporari road open traffic four month hour later claim,1
678,accord nation secur agenc alleg ngo trust collect donat countri abroad promot separ,0
50,assam govern form polic committ time assembl elect go held state regard issu relat infiltr illeg migrant,0
228,hanuman beniw mp rlp nagaur arriv demonstr farmer jaipur delhi highway read distanc farmer discuss whole matter,0
69,talk sukhdev singh boom identifi old farmer sukhdev singh told arm back,1
321,boom compar pictur scene found child hand rock present frame present,1
225,last day case cruelti taken prison critic govern,0
306,test match india australia go listen player score centuri slowest centuri test cricket,0
184,boom examin viral video photo found show differ incid,1
55,twitter facebook claim soldier sikh regiment resign,1
546,boom found video mock drill made chine swat team henan provinc,1
640,herd cow ran giant eleph mayurbhanj odisha,0
354,govern issu guidelin vaccin corona india,0
755,boom found pictur origin mehedi hasan russel main one death bangladesh engin student abrar fahd,1
129,boom found viral video clip eight year old video franc turkey,1
376,boom found member delhi pradesh congress committ worker walk till madhya pradesh uttar pradesh,1
289,prime minist narendra modi reach gurdwara rakab ganj sahib delhi sunday morn paid tribut guru tegh bahadur suprem sacrif,0
102,boom found viral video lok sabha elect faridabad poll agent vote illeg,1
490,presid nigeria term attack insan accord media report attack tie agricultur labor work paddi field cut neck,0
649,boom spoke delhi polic said rakesh tyagi seen video retir polic sever year ago,1
69,rakesh tikait repr farmer organ leader indian farmer union talk bbc said farmer form trust farmer,0
162,boom found sever news report told incid dhaka capit bangladesh,1
374,boom found investig victim uncl grant bail lucknow high court,1
678,boom told vice chancellor darul uloom claim fake relat darul uloom,1
207,video two year old protest viral cap mislead,1
391,protest farmer night border delhi spend time deal cold,0
372,canada britain peopl america protest support farmer,0
632,boom found video avail youtub sinc august,1
368,india armi chief gener manoj mukund narwan left week tuesday week,0
568,pictur xi jinp juli mosqu visit north western china outbreak kornaviru recent,1
633,jaipur born prateik kuhar becam consult becam singer,0
149,first case new variant corona viru come light china claim new variant corona viru go spread percent faster,0
89,today cartoon god gyanashala madhya pradesh,0
628,discuss urdu newspap discuss urdu newspap publish pakistan,0
54,three committ chair india includ taliban section counter territ libya section committ,0
561,america china relat stress donald trump era,0
735,boom approach madhav nation park rang offic lp arya reject rumor,1
620,major challeng front chirag paswan pursu polit capit left father keep mind chang ground situat rapidli,0
316,mass marriag program gorakhpur uttar pradesh mother daughter elect life partner,0
679,india offici crime collect data religion data victim rapist,1
270,told sikh pracharak shot singhu border adjac delhi,0
431,boom watch video real speech found rahul gandhi mention chile hover sky due dirt,1
579,wrong claim made get sick want stop germ wear white side mask,1
757,boom spoke meerut polic told gang muzaffarnagar use rob atm help ga cutter long time,1
614,video nighat abba chant freedom opposit leader viral without mention polit affili,1
461,boom found young man dilshad ali healthi polic arrest three attack connect,1
120,farmer prepar tractor parad rajpath delhi januari women farmer take train run tractor trolley jind haryana,0
33,kisan sangharsh samiti alleg peopl want make movement violent behest govern,0
671,claim indian media pm modi slogan rai debat pakistan parliament,0
592,delhi ayodhya london come differ part countri world canada diwali,0
439,larg number farmer punjab engag border delhi includ women teenag children,0
91,boom found video belong freight train raigad railway station chhattisgarh,1
7,boom found viral pictur commit year unnao uttar pradesh,1
386,boom found video taken anoth angl incid found peopl say sajid bhai zindabad,1
437,australia given target run india ahead seri victori india seri last match play sydney,0
589,ship hectar east india compani anchor surat port india one would guess compani would guess one rich countri world quarter popul directli popul go rule,0
362,boom found prime minist ayushman bharat talk beneficiari kovid patient,1
32,accord claim social media bilki bano jail day,1
374,germani lockdown decemb januari german chancellor said need take action immedi,0
709,boom found pictur share mani neutzan origin actor sunil jadhav film attack,1
167,boom spoke artist janani kurey told viral pictur relat hathra gang rape,1
714,tejashwi yadav inherit polit differ heir chirag paswan akhilesh yadav,0
600,boom found kumar refer narendra modi viral video,1
187,boom found gandhi name includ list hafington post articl later remov remov,1
583,boom found blanket distribut campaign conduct ngo base ngo aam aadmi parti,1
14,claim muslim demonstr templ demolish miscreant pakistan,1
47,afternoon decemb put arm headquart pakistani armi dhaka peak offic pakistani armi dinner,0
297,boom found video citi south africa durban mani monkey enter hospit last year,1
482,viral messag fake deci given bombay court given incorrect interpret,1
133,boom found viral screenshot crop articl wire program smriti irani jnu,1
584,oil india say fire baghjan ga well assam control five month,0
363,boom knew surat polic investig commun angl incid violat rule quarrel lockdown,1
572,abdullah fiction statement quot modi deriv satir websit fake news,1
432,boom found real incid occur bangladesh april local leader among needi hindu,1
51,number player got injur team india tour reach dozen question cricket constantli get injur tour,0
346,boom found mani discrep mistak tweet run aaj tak make fake,1
649,week india nation investig agenc raid hou greater kashmir offic afp journalist parvez bukhari hou,0
42,rahul gandhi ask mani sharp question jayaksh meet parliamentari counsel committ foreign affair,0
82,rti shown larg number farmer took advantag scheme give incom tax,0
509,hathra polic deni kind commun angl incid,1
659,work start film industri condit junior artist earn daili still bad,0
605,kartarpur corridor open novemb rai hope peopl live nearbi fill enthusiasm possibl chang live could someth like becom possibl,0
192,see photo peopl countri world celebr new year,0
41,initi vk vismaya synthet track modern gym facil instead take train mud cracki track,0
641,good result us presidenti elect come long,0
684,boom heard speech given gandhi jharkhand found statement like call rape indian women,1
318,armi said statement prime minist went meet patient train hall made treatment center,1
507,team india go play intern match nine month india australia play one day match sydney today,0
591,boom found video punjab punjab women hindu,1
449,boom contact palghar polic confirm commun angl incid,1
725,boom found show done aaj tak channel given news incid happen,1
405,video rakul preet singh came may take medicin,1
212,women call farmer also connect union also associ commun religion also repr land,0
342,decemb pakistani armi surrend india prepar major gener jfr jacob,0
258,new type fear coronaviru britain india ban movement also affect mani indian,0
650,us presid donald trump biden front india mani issu south asia includ india,0
325,boom found tweet made parodi account indian express bhushan file pil,1
378,eu disinfolab said report mani passiv organ local fake media institut use work,0
528,discov joint oper border secur forc jammu kashmir polic,0
262,viral post claim prime minist went templ see god declar free new zealand,1
169,first case new variant corona viru come light china claim new variant corona viru go spread percent faster,0
416,state direct concern msp say farmer state protest farmer delhi,0
629,xavier institut campu video girl shout slogan vulgar languag share jnu,1
38,boom found person seen video clip pakistani journalist motiv speaker india harshvardhan,1
33,boom found viral video year belong incid darjeel,1
433,stay live page bbc hindi news countri world accur analysi,0
551,boom spoke shadab farooq describ claim rumor page viral cctv footag,1
578,nazia naseem one crore rupe latest season kun banega crorepati kbc indian televi becom first millionair season,0
61,mistak pm modi turn demonstr farmer world biggest protest issu agricultur law,0
587,boom found video local market indonesia foreign anim sold,1
706,badaun uttar pradesh two sister found hang tree despit cbi inquiri hear special poxo court famili still wait justic,0
640,boom found video six year old belong bangladesh,1
200,farmer leader bihar particip agricultur punjab uttar pradesh good agricultur,0
242,boom talk hyderabad polic found peopl involv assault instal statu hinduism,1
239,fake interview state aamir khan say children follow islam,1
598,chine presid xi jinp instruct complet railway project connect tibet linjhi sichuan provinc quickli part close border arunach pradesh,0
478,india dismiss propo pass meet foreign minist member countri orc organ islam countri organ islam cooper,0
555,boom found origin tweet okhla mla photoshop give commun color text ad,1
403,writer anand swaroop verma told bbc manglesh dabral breath last late even aiim hospit delhi,0
67,today cartoon vaccin suppli india,0
96,indian pharma compani vaccin peopl countri also suppli vaccin,0
525,boom found pictur taken video rescu oper polic help peopl get build,1
132,boom found ralli address modi patna march,1
637,gener bipin rawat said allianc china pakistan continu increa india fought countri,0
609,elect held mani state along bihar bharatiya janata parti done well result elect held assembl seat state come,0
277,mamta banerj till recent mutual relationship shubhendu adhikari strong leader tmc reach point call point return,0
223,mani farmer protest ghazipur ghaziabad border camp tent set farmer,0
31,aam aadmi parti share video clip bidhuri realiti articl,1
682,boom found viral pictur done chitgong bangladesh shot process taken occa eid e milad,1
215,boom found pictur joint exerci organ china india taken ladakh octob,1
238,boom found victim accu muslim incid bangladesh,1
274,pakistani women live kashmir often perform right mani come polit rai voic,0
175,boom found funer scene actual photo,1
469,boom found pictur taken june complet unrel recent lockdown,1
143,indian cricket team support staff corona viru test video indoor restaur melbourn went viral,0
537,boom found govern india issu advic regard bake color chin,1
412,conver amit shah farmer tuesday night govern sent written propo farmer wednesday farmer reject,0
591,kamla harri elect vice presid victori us presidenti elect held novemb victori us presidenti elect novemb,0
418,ralli organ support farmer sit delhi behalf punjabi commun canadian citi brampton,0
522,india decid particip trade agreement agreement brought japan south korea china tension sinc old time,0
200,boom found pictur dr bhim rao ambedkar wife ad separ photo bu,1
371,farmer oppo three new agricultur law pass central govern sever day,0
364,mumbai polic sunday arrest republ tv ceo vika khanchandani regard alleg trp scam,0
373,investig boom reveal viral video actual base pre plan plot real incid,1
19,claim pictur rss camp pictur anna hazar narendra modi pictur,1
508,protest three agricultur law central govern farmer organ call delhi chalo march thursday,0
680,boom spoke student repr jmi confirm student hospit still stabl,1
379,offici say first three million dose vaccin deliv state soon,0
629,leader mani countri congratul bidon kamla harri elect presid vice presid america,0
92,shastri bodi taken tashkent airport bring delhi everi soviet indian pakistani flag bow way,0
126,ralli belong bahujan samaj parti concern recent bihar elect,1
271,first match four test seri begin thursday one day seri name australia,0
460,viral post seem tv blueoper boom found real news actual chief minist uttarakhand,1
753,boom found origin headlin photoshop fake made,1
348,today cartoon news absenc cold session parliament,0
139,today cartoon prepar corona vaccin,0
184,see photo peopl countri world celebr new year,0
595,boom found viral video incorrectli cut shown chairman women shia waqf board,1
499,sub divi magistr told boom video mock drill done march,1
444,boom found corner kaaba call rukn e yamani touch consid sacr,1
758,data pmo former pm manmohan singh extract show amit shah claim regard modi foreign trip,1
561,boom found viral claim baseless wrong articl present indian constitut,1
210,agit farmer oppo pm modi mann ki baat program play clap sunday,0
68,claim farmer perform pictur carri banner lord ram,1
424,boom found video last rite kim jong il,1
514,delhi high court said headlin today newspap freedom women choo partner,0
653,india larg popul get clean water,0
464,recent pictur share claim modi govern promot lockdown,1
141,boom found viral claim fake pictur pm modi kolkata ralli,1
587,everi year larg number firecrack made shivkashi district tamil nadu year due korona epidem six month could produc,0
465,boom found pharmacist die due brain haemorrhag attack muslim,1
91,prime minist narendra modi said conver chief minist korona vaccin,0
283,view new variant corona viru found britain countri like canada ireland germani franc itali netherland belgium decid cancel flight includ india includ india,0
405,bihar chief minist nitish kumar refer end apmc act bihar claim improv condit farmer,0
394,issu farmer movement india ari parliament abroad wednesday sikh mp labor parti tanmanjit singh british parliament rai issu,0
675,hyderabad physiotherapist misrepr find nobel prize winner,1
747,sinc thursday mani state open theater multiplex seven month,0
576,boom found video malaysian prime minist visit china,1
0,brisban test cheteshwar pujara call wall india also injur inning mani ball australian bowler got bodi,0
732,fatehpur polic told boom person kill wife angri rel wife,1
738,opindia nation fal report russian presid vladimir putin narendra modi visit tamil nadu,1
731,boom spoke superintend polic secur ayodhya deni viral messag said someon monitor,1
485,pictur video go viral fal claim vaccin coronaviru avail,1
18,claim amit shah ask build ram templ narendra modi claim kill muslim farmer,1
397,prime minist bori johnson ask question ongo peasant movement india british parliament answer strang,0
36,recent chief justic india comment peasant movement women elderli involv demonstr go home,0
381,boom found investig photo kumbh mela held prayagraj uttar pradesh februari,1
199,boom found viral pictur perform haryana roadway employ octob,1
688,boom found wrong statement spread name congress leader spoke cab comment,1
510,agricultur minist react delhi protest new agricultur law delhi punjab delhi,0
115,boom found viral post claim fake video gujarat fatehabad district haryana,1
111,young man mirzapur district uttar pradesh cross border year ago went pakistan,0
363,condit women farmer agit protest agricultur law ghazipur border,0
481,review newspap maritim secur sri lanka maldiv visit doval saturday,0
35,air marshal rk bhadoria head indian air forc say indigen fighter aircraft teja balakot help close invit surgic strike,0
549,live pakistan administ kashmir mistaken return year look forward return year,0
713,boom found pictur young man karnataka suffer blood cancer,1
511,yogi adityanath govern uttar pradesh approv ordin inter religi marriag,0
20,claim pictur show atal bihari vajpay mother lap,1
285,boom found crowd prevent civic offici instal institut quarentin kovid posit peopl,1
197,univ burn told boom fake letter,1
245,boom found video clip actual discuss mental health held book launch mahesh bhatt daughter shaheen bhatt,1
327,boom found pictur viral tell kolkata,1
170,next meet govern farmer leader held januari,0
330,pakistani women live kashmir often perform right mani come polit rai voic,0
644,boom brought five exampl similar look photograph use spread wrong inform,1
606,read news given promin newspap publish delhi,0
505,said vaccin vaccin far new vaccin minim public avail public,1
409,six percent farmer benefit msp farmer road ensur farmer road,0
514,boom found person attack mob viral video kanhaiya kumar person,1
305,boom found video fake digit edit,1
101,cook rice boil keep water time readi eat,0
559,boom found post claim lose seat margin bjp margin less vote,1
186,union educ minist ramesh pokhriy nishank announc cbse board th th examin,0
90,third test match play india australia sydney end without conclu australia set target run win second inning front india respon india score run loss five wicket,0
645,video film belong recent perform,1
141,head india drug regulatori bodi said corona vaccin countri approv,0
108,boy marri two girl togeth girl love boy,0
291,ministri home affair yet taken deci regard open school colleg,1
231,boom found screenshot news claim fake claim edit,1
574,studi publish octob month outbreak novel kornaviru,1
126,come busi america becom india largest trade partner second financ year,0
679,unit state america said russia iran tri influenc voter presidenti elect novemb,0
758,nia arrest year old father stan swami impo uapa section,0
685,boom discov video internet found video citizenship amend bill long passag bill pass,1
215,india america japan australia form quad group togeth made group formal,0
722,first case corona kerala came light januari,0
407,investig boom reveal viral pictur young woman kiss nehru cheek niec nayantara sehgal,1
214,accord rajinikanth due poor health take deci,0
677,three peopl die attack church franc reaction come whole world,0
365,stori stori health worker face risk death everyday save unknown peopl,0
539,video viral sinc decemb unrel recent violenc citi,1
613,arnab goswami arrest hou mumbai wednesday novemb,0
99,boom found viral pictur actual taken tejshvi yadav protest murder businessman,1
331,prime minist narendra modi reach nation war memori new delhi paid homag soldier took part war,0
617,result bihar assembl elect come nda got mandat form govern state assembl seat,0
88,viral post social media claim russia wed muslim non muslim,1
447,saturday conver govern leader farmer vigyan bhawan delhi decid next round talk two side held decemb,0
77,boom found video one icc cricket world cup match viewer support khalistan,1
400,special campaign asian muslim commun britain,0
371,boom discov video nashik polic congratul coupl get marri home due lockdown,1
209,hanuman beniw mp rlp nagaur arriv demonstr farmer jaipur delhi highway read distanc farmer discuss whole matter,0
198,boom found viral pictur demonstr sikar rajasthan,1
251,parti alleg imran gain power help armi,0
726,court also issu notic four parti includ royal mosqu committ,0
593,india love project give voic stori love social fetter instagram,0
674,debat strict improv law india pakistan due violent crime women,0
362,center call three ip offic respon secur jp nadda visit delhi deput,0
639,number mention tweet bjp caa support helplin handl claim tweet part prank,1
723,discuss myth bihar elect good although truth littl thing common peopl accept myth true know myth truth,0
177,sixth round talk farmer govern know middl way former agricultur minist former food commiss former fci chairman expert issu,0
299,india becam independ year later goa got independ pupil slaveri,0
180,known victori stori dalit bhima koregaon discuss violenc case violenc countri well known intellectu accu put uapa section histori direct investig violenc,0
72,social media user share pictur connect hyderabad municip corpor elect,1
435,boom found hanjo made statement accord evid sar cov natur viru,1
193,farmer movement made headlin end year,0
236,walk help spring foot easili year stori retir offic start studi mbb pass neet exam year,0
37,boom found viral pictur belong farmer movement anti caa perform kerala februari,1
138,boom found origin placard show nigerian demonstr controversi polic unit sar,1
94,children britain rai awar ongo farmer perform india social media campaign children becom topic discuss britain,0
512,boom found unicef relea advisori claim messag scientist,1
147,prepar block three pakistan air forc state art fighter aircraft jf start fourteen jf b aircraft made collabor china hand pakistan air forc,0
136,india day prepar underway start larg scale vaccin corona viru,0
242,peopl kharwad villag rohtak help sikh peasant movement mani farmer go punjab delhi still stop rest villag,0
592,boom found person present viral video acharya dharmendra leader vishwa hindu parishad vhp,1
188,boom found indian militari line control ad edit background viral pictur,1
586,leav myanmar million rohingya taken refug feel risk,0
594,accord statement indian armi chinar corp srinagar pakistan use mortar weapon attack delib target common civilian base,0
304,crore peopl vaccin januari august next year govern india vaccin scheme,0
365,boom found viral pictur four year old took repair templ farrukhbad uttar pradesh,1
137,amidst border disput india china line actual control china advi india pay attent domest issu,0
711,post student describ freekey depend spread toward women,1
282,farmer protest boundari delhi past sever day farmer start grow veget ground pavement studi way,0
581,video hindu mahasabha leader shot mahatma gandhi effigi show support nathuram god,1
350,boom found januari record actual video chauhan question liquor sale polici kamal nath govern,1
156,boom found photo taken decemb mexican leader oppo bill corrupt,1
511,video share fal claim muslim vendor caught lonavla near mumbai,1
680,india seriou controversi line actual control lac ladakh china last month,0
636,boom found pictur sex toy condom old relat violenc sunday univ campu,1
732,accord deci state govern multiplex cinema hou given licen fee period april septemb,0
462,boom found video made anim video product compani digit made realiti,1
557,boom found claim fal video made ad three differ video,1
235,boom found protest organ right wing polit parti septemb dhaka,1
337,nirbhaya gang rape law tighten provi like death punish brought,0
241,boom found sanskrit sentenc alway written suprem court logo,1
276,boom contact delhi polic discov video actual mock drill terrorist caught,1
282,boom found six year old pictur taken seminari telangana youth seen pictur scriptur,1
106,claim viral photo lose elect bihar sweet thrown rashtriya janata dal offic,1
92,boom found viral pictur taken octob ashok gehlot celebr diwali,1
14,pain accid occur near kosamba surat gujarat truck pass sleep worker near road,0
358,deci delhi high court aiim administr nur union decid withdraw strike,0
534,boom found person appear pictur congress leader former india addit solicitor gener suprem,1
682,punjab legisl assembl pass three new agricultur bill neutral three new agricultur law brought central govern,0
326,press confer held june last month ramdev said control,1
632,british offic also consult scheme evacu jarnail singh bhindranw gold templ,0
257,eu call good balanc deal britain also given good deal entir eu,0
513,boom found long version aaj tak video show wrong inform spread crop crop,1
537,statement countri former vice presid hamid ansari resent right wing trend,0
542,yogi govern bring ordin crore elector bond love jihad sold bihar elect,0
444,dr ambedkar spoke relationship mahatma gandhi bbc ambedkar special death anniversari,0
686,articl hatna corona viru kashmir appl industri readi stand lockdown,0
381,percent bone found area cow buffalo percent bone goat,0
140,boom contact kent refug action network confirm pictur one event octob,1
39,accord viral claim social media name ahmedabad airport becom adani airport sardar vallabhbhai patel,1
407,decemb birthday sonia gandhi discuss lot twitter social media,0
474,today cartoon protest farmer agricultur law,0
153,protest start citizenship amend law assam law pass parliament decemb last year,0
755,missil kill kilomet,0
453,boom found clip crop youtub webseri,1
672,delhi polic confirm boom person seen pictur arvind kumar soldier delhi polic,1
76,netsen claim remov kashmir lot troubl grow crop punjab,1
496,chine scientist claim corona viru reach human dirti water anim headlin today newspap,0
6,boom found origin pictur year amit shah congratul prime minist narendra modi,1
124,boom found claim viral post fake pictur pappu shukla gujarat ismail yemen,1
302,fake tweet claim samajwadi parti power ram templ would construct,1
673,easi peopl transgend commun find job,0
273,boom contact air forc confirm india air franc rafael jet,1
472,boom discov video novemb yogi adityanath shahrukh khan speak intol,1
147,video peopl stop road stone man ask polic help,1
308,accord export associ textil industri pakistan receiv lot order abroad corona period,0
725,accord offici least fire brigad vehicl present scene effort made save peopl trap insid build extinguish fire,0
697,boom spoke motihari assist superintend polic confirm incid motihari,1
486,boom found video mock drill made polic,1
303,boom found pictur present internet sinc post mani russian websit,1
411,boom found pictur unrel pictur injur woman gujarat,1
715,boom found pictur taken woman shown woman particip ashura muharram countri,1
217,boom found indian media channel ran news wrong claim without check truth viral video twitter,1
156,farmer organ still adam demand withdraw three agricultur law central govern said withdraw law,0
378,investig boom reveal viral video pakistan mansara india,1
567,impact china region increa region due chine led rcep agreement india pull world biggest trade deal last year,0
383,today cartoon petrol price,0
231,women call farmer also connect union also associ commun religion also repr land,0
716,peak case corona viru infect india,0
722,tirumala tirupati devasthanam confirm boom claim broadcast onlin wrong taken deci yet,1
394,boom spoke senior professor patholog depart aiim delhi relea list,1
563,boom found pictur origin mukherj nagar delhi tempo driver attack polic sword,1
669,capit delhi last day case daili infect come thousand make new record everi day,0
283,boom found photo viral fake claim realiti photo prayagraj,1
750,boom spoke mathura polic told crimin set fire car stir media,1
28,claim made social media pictur templ pictur ayodhya,1
601,read headlin major newspap publish delhi,0
517,wherev want must heard say teenag bhopal shown done,0
590,china congratul biden open global center tradit medicin india along import news today newspap,0
212,boom contact laxman bhadarg told us video shot novemb last year,1
727,fake messag claim see three right sign whatsapp mean govern agenc,1
348,boom found real video show kill accid near coast libya,1
82,boom found viral video show elect campaign argentina presid marisio mcr,1
543,union health minist dr harsh vardhan hope vaccin start get first month,0
9,young blood like mohammad siraj shardul thakur washington sundar hanuma vihari shubman gill rishabh pant fill new energi australia australia,0
310,boom found real pictur dubey close jai bajpay bjp spokesperson sambit patra,1
409,boom investig reveal viral video incid pakistan shaheen bagh recent,1
73,australian batsman steve smith sydney surpri alleg rishabh pant bat crea badli last day sydney test pant dismiss three run centuri,0
195,accord govern press relea vaccin train across countri,0
544,uae laid temporari ban grant visa passeng countri includ pakistan estim well two countri,0
643,republ tv editor chief avab goswami receiv interim relief bombay high court decid hear friday,0
535,due insuffici report riot delhi real inform could reach peopl besid shahrukh,1
663,boom found pictur origin maratha kranti morcha held,1
333,mamta banerj till recent mutual relationship shubhendu adhikari strong leader tmc reach point call point return,0
228,boom found viral pictur old amit shah photo edit appli,1
178,boom found clip octob crui liner left greec narrow corinth canal,1
187,accord govern press relea vaccin train across countri,0
339,emin economist social activist jean drez spoke bbc india constant deterior condit term hunger malnutrit,0
36,although glass bridg definit built rajgir bihar viral pictur bridg,1
213,claim pictur three famili,1
501,australia score huge score run loss six wicket,0
183,foreign diplomat say china surpri oli footstep senior european diplomat said china angri step prime minist oli amidst epidem,0
519,boom heard mandar long speech protect true ideal constitut india protest,1
